Data_Balanco;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Total Unusual Items;Total Unusual Items Excluding Goodwill;Net Income From Continuing Operation Net Minority Interest;Reconciled Depreciation;Reconciled Cost Of Revenue;EBITDA;EBIT;Net Interest Income;Interest Expense;Interest Income;Normalized Income;Net Income From Continuing And Discontinued Operation;Total Expenses;Total Operating Income As Reported;Diluted Average Shares;Basic Average Shares;Diluted EPS;Basic EPS;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Otherunder Preferred Stock Dividend;Net Income;Minority Interests;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Net Non Operating Interest Income Expense;Total Other Finance Cost;Interest Expense Non Operating;Interest Income Non Operating;Operating Income;Operating Expense;Other Operating Expenses;Selling General And Administration;General And Administrative Expense;Gross Profit;Cost Of Revenue;Total Revenue;Operating Revenue;Ticker;Net Income Extraordinary;Other Non Operating Income Expenses;Gain On Sale Of Security;Depreciation And Amortization In Income Statement;Depreciation Income Statement;Selling And Marketing Expense;Insurance And Claims;Rent And Landing Fees;Other Income Expense;Special Income Charges;Gain On Sale Of Ppe;Other Special Charges;Write Off;Restructuring And Mergern Acquisition;Earnings From Equity Interest;Other Taxes;Other Gand A;Excise Taxes;Rent Expense Supplemental;Impairment Of Capital Assets;Provision For Doubtful Accounts;Depreciation Amortization Depletion Income Statement;Salaries And Wages;Net Income Discontinuous Operations;Amortization;Amortization Of Intangibles Income Statement;Research And Development;Preferred Stock Dividends;Professional Expense And Contract Services Expense;Other Non Interest Expense;Net Policyholder Benefits And Claims;Average Dilution Earnings;Gain On Sale Of Business;Depletion Income Statement
2024-12-31;2068778,8;0,3596;9740000,0;5753000,0;5753000,0;-41575000,0;21411000,0;834552000,0;15493000,0;-5918000,0;-55739000,0;59001000,0;7017000,0;-45259221,2;-41575000,0;888548000,0;;5783212,0;5783212,0;-7,1889;-7,1889;-41575000,0;-41575000,0;0,0;-41575000,0;;-41575000,0;-41575000,0;-23344000,0;-64919000,0;-55739000,0;3755000,0;59001000,0;7017000,0;59490000,0;53996000,0;8539000,0;48270000,0;37745000,0;113486000,0;834552000,0;948038000,0;948038000,0;MGEL4;;;;;;10525000,0;;;;5753000,0;;-5291000,0;-462000,0;;;;;;;;;;;;;;;;;;;;;
2023-12-31;-173486,1;0,3747;140763000,0;-463000,0;-463000,0;34047000,0;20739000,0;800994000,0;140300000,0;119561000,0;-58917000,0;65110000,0;9396000,0;34336513,9;34047000,0;839122000,0;;5783212,0;5783212,0;5,8872;5,8872;34047000,0;34047000,0;0,0;34047000,0;;34047000,0;34047000,0;20404000,0;54451000,0;-58917000,0;3203000,0;65110000,0;9396000,0;88749000,0;38128000,0;483000,0;43951000,0;34906000,0;126877000,0;800994000,0;927871000,0;927871000,0;MGEL4;;;;;;9045000,0;;;;-463000,0;;463000,0;0,0;;;;;;;;;;;;;;;;;;;;;
2022-12-31;7309320,0;0,34;149026000,0;21498000,0;21498000,0;258724000,0;19720000,0;873266000,0;170524000,0;150804000,0;-56960000,0;59025000,0;4700000,0;244535320,0;258724000,0;915457000,0;;5783212,0;5783212,0;44,7371;44,7371;258724000,0;258724000,0;0,0;258724000,0;;258724000,0;258724000,0;-166945000,0;91779000,0;-56960000,0;2635000,0;59025000,0;4700000,0;101729000,0;42191000,0;12893000,0;37065000,0;30939000,0;143920000,0;873266000,0;1017186000,0;1017186000,0;MGEL4;;;;;;6126000,0;;;;21498000,0;;-21498000,0;;;;;;;;;;;;;;;;;;;;;;
2021-12-31;0,0;0,2147;245518000,0;1279000,0;1279000,0;149330000,0;19068000,0;732221000,0;245518000,0;226450000,0;24777000,0;36297000,0;61074000,0;149330000,0;149330000,0;669830000,0;;5783212,0;5783212,0;25,821291;25,821291;149330000,0;149330000,0;0,0;149330000,0;;149330000,0;149330000,0;40823000,0;190153000,0;24777000,0;-58200000,0;36297000,0;61074000,0;193144000,0;-62391000,0;21866000,0;34013000,0;28167000,0;130753000,0;732221000,0;862974000,0;862974000,0;MGEL4;;;;;;5846000,0;;;;1279000,0;;-1279000,0;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;33363180,0;0,34;2263828000,0;98127000,0;98127000,0;448717000,0;1333288000,0;26410812000,0;2361955000,0;1028667000,0;-1429528000,0;941283000,0;257037000,0;383953180,0;448717000,0;36767739000,0;1562432000,0;772863232,0;772863232,0;0,580568;0,580568;448717000,0;448717000,0;0,0;448717000,0;;448717000,0;448717000,0;-361333000,0;87384000,0;-1429528000,0;745282000,0;941283000,0;257037000,0;1270329000,0;10356927000,0;662843000,0;8505299000,0;1373715000,0;11627256000,0;26410812000,0;38038068000,0;38038068000,0;MGLU3;;;;1333288000,0;1333288000,0;7131584000,0;;;;-2199000,0;;;-1229000,0;3428000,0;;;;;;;;;;;;;;;;;;;;
2023-12-31;11422640,0;0,34;440378000,0;33596000,0;33596000,0;-979104000,0;1242690000,0;26604266000,0;473974000,0;-768716000,0;-1728705000,0;1295651000,0;176181000,0;-1001277360,0;-979104000,0;37118397000,0;-372148000,0;757825842,0;751238261,0;-1,303217;-1,303217;-979104000,0;-979104000,0;0,0;-979104000,0;;-979104000,0;-979104000,0;-1085263000,0;-2064367000,0;-1728705000,0;609235000,0;1295651000,0;176181000,0;-350248000,0;10514131000,0;1046891000,0;8337270000,0;1335204000,0;10163883000,0;26604266000,0;36768149000,0;36768149000,0;MGLU3;;;;1242690000,0;1242690000,0;7002066000,0;;;;-118534000,0;;-201920000,0;20512000,0;299942000,0;;;;;;;;;;;;;;;;;;;;
2022-12-31;-675580,0;0,34;1091858000,0;-1987000,0;-1987000,0;-498975000,0;1163624000,0;26860106000,0;1089871000,0;-73753000,0;-2046544000,0;1195645000,0;150832000,0;-497663580,0;-498975000,0;36484131000,0;771635000,0;756625381,0;749589292,0;-0,668088;-0,668088;-498975000,0;-498975000,0;0,0;-498975000,0;;-498975000,0;-498975000,0;-770423000,0;-1269398000,0;-2046544000,0;1001731000,0;1195645000,0;150832000,0;814871000,0;9624025000,0;425052000,0;8111307000,0;1370198000,0;10438896000,0;26860106000,0;37299002000,0;37299002000,0;MGLU3;;;;1163624000,0;1163624000,0;6741109000,0;;;;-136929000,0;;19746000,0;695000,0;136234000,0;;;;;;;;;;;;;;;;;;;;
2021-12-31;-11810580,0;0,34;1030940000,0;-34737000,0;-34737000,0;590661000,0;816964000,0;26791345000,0;996203000,0;179239000,0;-687730000,0;397648000,0;72955000,0;613587420,0;590661000,0;34873420000,0;;756188145,0;748275379,0;0,78389;0,792798;590661000,0;590661000,0;0,0;590661000,0;;590661000,0;590661000,0;-809070000,0;-218409000,0;-687730000,0;363037000,0;397648000,0;72955000,0;404730000,0;8082075000,0;-85675000,0;7406083000,0;1031654000,0;8486805000,0;26791345000,0;35278150000,0;35278150000,0;MGLU3;;;;816964000,0;816964000,0;6374429000,0;;;;-77437000,0;;77437000,0;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;10105940,0;0,26;764879000,0;38869000,0;38869000,0;284890000,0;233489000,0;597695000,0;803748000,0;570259000,0;-114548000,0;184171000,0;12350000,0;256126940,0;284890000,0;1066988000,0;;226927804,0;226927804,0;1,256787;1,256787;284890000,0;284890000,0;0,0;284890000,0;-298000,0;285188000,0;285188000,0;100900000,0;386088000,0;-114548000,0;-57273000,0;184171000,0;12350000,0;508417000,0;469293000,0;23173000,0;128796000,0;127393000,0;977710000,0;597695000,0;1575405000,0;1575405000,0;MILS3;;;;89320000,0;89320000,0;1403000,0;;3817000,0;;-326000,0;;;326000,0;;;;;;9948000,0;;;;;;;;;;;;;;;
2023-12-31;1083440,0;0,29;756916000,0;3736000,0;3736000,0;277930000,0;220478000,0;489929000,0;760652000,0;540174000,0;-72545000,0;148118000,0;9552000,0;275277440,0;277930000,0;908207000,0;;245506000,0;241327000,0;1,13207;1,15167;277930000,0;277930000,0;0,0;277930000,0;-282000,0;278212000,0;278212000,0;113844000,0;392056000,0;-72545000,0;-66021000,0;148118000,0;9552000,0;469549000,0;418278000,0;34190000,0;124383000,0;122837000,0;887827000,0;489929000,0;1377756000,0;1377756000,0;MILS3;;;;64654000,0;64654000,0;1546000,0;;7173000,0;;-326000,0;;326000,0;326000,0;;;;;;9454000,0;;;;;;;;;;;;;;;
2022-12-31;-85800,0;0,3;542737000,0;-286000,0;-286000,0;216512000,0;167613000,0;397019000,0;542451000,0;374838000,0;-8070000,0;64506000,0;8256000,0;216712200,0;216512000,0;769742000,0;;207795000,0;207626000,0;1,04;1,04;216512000,0;216512000,0;0,0;216512000,0;59000,0;216453000,0;216453000,0;93879000,0;310332000,0;-8070000,0;-48180000,0;64506000,0;8256000,0;322355000,0;372723000,0;78872000,0;102137000,0;99409000,0;695078000,0;397019000,0;1092097000,0;1092097000,0;MILS3;;;;51477000,0;51477000,0;2728000,0;;7355000,0;;-286000,0;;;286000,0;;;;;;11850000,0;;;;;;;;;;;;;;;
2021-12-31;27540,0;0,27;305994000,0;102000,0;102000,0;102486000,0;144840000,0;335130000,0;306096000,0;161256000,0;-7415000,0;20068000,0;3976000,0;102411540,0;102486000,0;591498000,0;;207652000,0;207626000,0;0,493547;0,493609;102486000,0;102486000,0;0,0;102486000,0;179000,0;102307000,0;102307000,0;38881000,0;141188000,0;-7415000,0;-8677000,0;20068000,0;3976000,0;146620000,0;256368000,0;41900000,0;72602000,0;70343000,0;402988000,0;335130000,0;738118000,0;738118000,0;MILS3;;;;33706000,0;33706000,0;2259000,0;;5224000,0;;102000,0;;;-102000,0;;;;;;6124000,0;;;;;;;;;;;;;;;
2024-12-31;34514080,0;0,34;-240546000,0;101512000,0;101512000,0;-321233000,0;61880000,0;2602218000,0;-139034000,0;-200914000,0;-52845000,0;53173000,0;8717000,0;-388230920,0;-321233000,0;3409004000,0;;807412740,0;807412740,0;-0,397855;-0,397855;-321233000,0;-321233000,0;0,0;-321233000,0;;-321233000,0;-321233000,0;67146000,0;-254087000,0;-52845000,0;8389000,0;53173000,0;8717000,0;-20506000,0;806786000,0;-28033000,0;876068000,0;67481000,0;786280000,0;2602218000,0;3388498000,0;3388498000,0;MLAS3;;;;;;808587000,0;;27949000,0;;;;;;;;;;;27949000,0;;;;;;;;77303000,0;;;;;;;
2023-12-31;-5348831,0;0,037;-579947000,0;-144563000,0;-144563000,0;-836178000,0;67867000,0;3308081000,0;-724510000,0;-792377000,0;-63959000,0;76250000,0;6215000,0;-696963831,0;-836178000,0;4225471000,0;;812647340,0;812647340,0;-1,028955;-1,028955;-836178000,0;-836178000,0;0,0;-836178000,0;;-836178000,0;-836178000,0;-32449000,0;-868627000,0;-63959000,0;-6076000,0;76250000,0;6215000,0;-726392000,0;917390000,0;19515000,0;936601000,0;57511000,0;190998000,0;3308081000,0;3499079000,0;3499079000,0;MLAS3;;;;;;879090000,0;;34345000,0;;;;;;;;;;;34345000,0;;;;;;;;75884000,0;;;;;;;
2022-12-31;-38390184,0;0,361;358830000,0;-106344000,0;-106344000,0;89967000,0;59209000,0;3246383000,0;252486000,0;193277000,0;-20006000,0;52497000,0;2768000,0;157920816,0;89967000,0;4198510000,0;;812647340,0;812647340,0;0,110709;0,110709;89967000,0;89967000,0;0,0;89967000,0;;89967000,0;89967000,0;50813000,0;140780000,0;-20006000,0;-29723000,0;52497000,0;2768000,0;185335000,0;952127000,0;160749000,0;961660000,0;89450000,0;1137462000,0;3246383000,0;4383845000,0;4383845000,0;MLAS3;;;;;;872210000,0;;30029000,0;;;;;;;;;;;30029000,0;;;;;;;;80031000,0;;;;;;;
2021-12-31;187229,0;0,007;859309000,0;26747000,0;26747000,0;774715000,0;38306000,0;3489840000,0;886056000,0;847750000,0;-128206000,0;67580000,0;7915000,0;748155229,0;774715000,0;4068174000,0;;812647340,0;812647340,0;0,953323;0,953323;774715000,0;774715000,0;0,0;774715000,0;;774715000,0;774715000,0;5455000,0;780170000,0;-128206000,0;68541000,0;67580000,0;7915000,0;778478000,0;578334000,0;-4183000,0;766246000,0;56505000,0;1356812000,0;3489840000,0;4846652000,0;4846652000,0;MLAS3;;;;;;709741000,0;;25354000,0;;;;;;;;;;;25354000,0;;;;;;;;105301000,0;;;;;;;
